H8 I7 I9 G7 J9 I8 ,9:8
H8 I6 I9 J6 J8 I8 ,9:5
H8 I6 I9 G9 I8 H7 ,6:7
H8 I6 I9 Ja H9 J8 ,7:4
H8 I7 I9 I8 G7 Ha ,9:5
H8 I8 I9 J9 Ja H7 ,10:4
H8 I6 I9 Ia J8 H7 ,9:5
H8 I6 I9 H7 G7 G9 ,5:9
H8 I6 I9 H7 G7 F7 ,5:9
H8 I6 I9 J8 H9 G7 ,7:4
H8 I6 I9 H7 G7 Ja ,6:6
H8 J8 F8 E8 ,6:6
H8 I6 I9 I5 J8 J7 ,7:5
H8 I6 I9 Ja H9 I5 ,7:4
H8 I6 I9 Ja H9 J7 ,7:5
H8 I6 I9 I5 J8 K9 ,6:8
H8 I6 I9 J7 J9 K8 ,11:6
H8 I6 I9 J7 J9 J6 ,10:4
H8 I7 I9 G8 ,6:8
H8 I6 I9 J9 Ha Hb ,8:5
H8 I8 I9 G7 J9 H9 ,9:5
H8 I6 I9 J6 J8 I7 ,9:5
H8 I6 I9 J6 J8 J9 ,8:7
H8 I6 I9 Ja H9 I7 ,7:5
H8 I7 I9 Ja ,6:7
H8 I6 I9 Ja H9 J9 ,7:5
H8 I6 I9 Ia J8 H6 ,9:5
H8 I6 I9 Ia J8 I8 ,9:5
H8 I6 I9 H7 G7 F8 ,5:9
H8 I6 I9 J8 H9 G8 ,6:6
H8 I6 I9 I5 J8 K8 ,7:5
H8 I6 I9 J7 J9 K9 ,10:7
H8 I8 I9 G7 J9 Ka ,7:6
H8 I6 I9 J7 J9 I5 ,10:4
H8 I6 I9 G9 I8 H9 ,9:7
H8 I7 I9 G9 ,9:7
H8 I6 I9 J9 Ha Ga ,8:7
H8 I8 I9 G7 J9 G8 ,9:7
H8 I7 I9 G7 J9 J8 ,10:6
H8 I6 I9 G9 I8 G7 ,6:7
H8 I8 I9 J9 Ja G7 ,10:5
H8 I6 I9 Ia J8 I7 ,7:5
H8 I6 I9 Ia J8 H5 ,7:5
H8 I6 I9 J8 H9 H7 ,9:5
H8 I6 I9 I8 H9 J5 ,9:6
H8 I6 I9 H7 G7 Ia ,5:9
H8 I6 I9 I5 J8 H5 ,7:5
H8 I6 I9 I5 J8 I7 ,8:7
H8 I6 I9 J9 Ha Ib ,6:5
H8 I6 I9 G9 I8 G8 ,6:8
H8 I6 I9 Ja H9 J5 ,6:6
H8 I7 I9 G7 J9 K9 ,9:7
H8 I8 I9 G7 J9 H7 ,9:7
H8 I7 I9 Ia G8 Ha ,6:8
H8 I6 I9 J6 J8 K9 ,10:7
H8 I7 I9 Ia ,6:7
H8 I8 I9 J9 Ja G8 ,10:4
H8 I6 I9 J6 J8 J7 ,9:5
H8 I6 I9 I8 H9 J6 ,9:6
H8 I6 I9 H5 J9 J5 ,10:4
H8 I7 I9 H7 G7 F6 ,9:7
H8 I6 I9 J7 J9 J5 ,7:6
H8 I6 I9 Ja H9 J6 ,7:4
H8 I6 I9 G9 I8 I5 ,8:5
H8 I6 I9 J8 H9 H5 ,6:6
H8 I6 I9 J8 H9 I7 ,7:5
H8 I7 I9 G7 J9 G8 ,9:8
H8 I8 I9 J9 Ja G9 ,10:4
H8 I6 I9 J6 J8 G8 ,9:5
H8 I6 I9 G9 I8 J7 ,7:8
H8 I7 I9 Ia G8 G9 ,7:8
H8 J8 F8 G7 F9 Fa E8 G8 ,6:5
H8 I7 I9 Ia G8 F7 ,5:7
H8 I6 I9 Ia J8 K9 ,9:8
H8 I7 I9 J9 G7 Ia ,5:9
H8 I6 I9 Ia J8 I5 ,9:5
H8 I6 I9 H5 J9 J6 ,7:6
H8 I6 I9 J8 H9 J9 ,9:5
H8 I6 I9 H5 J9 K8 ,9:8
H8 I7 I9 I8 G7 F7 ,9:5
H8 I7 I9 I8 G7 G9 ,9:5
H8 I6 I9 I7 Ha Gb ,7:6
H8 I6 I9 J7 J9 I8 ,7:6
H8 I6 I9 J7 J9 H6 ,10:4
H8 I7 I9 G7 J9 G9 ,9:7
H8 I7 I9 I8 ,6:8
H8 I6 I9 H5 J9 K9 ,9:5
H8 I6 I9 Ia ,9:7
H8 I6 I9 J8 H9 H6 ,7:5
H8 I7 I9 G7 J9 H9 ,9:7
H8 I6 I9 G9 I8 J8 ,9:5
H8 I7 I9 Ha G7 J9 ,5:9
H8 I6 I9 J6 J8 G7 ,8:7
H8 I6 I9 H7 G7 G6 ,5:9
H8 I6 I9 Ia J8 K8 ,7:5
H8 I6 I9 H5 J9 I5 ,7:6
H8 I7 I9 I8 G7 F8 ,9:5
H8 I6 I9 J7 J9 H7 ,6:8
H8 I8 I9 G7 J9 Ia ,9:5
H8 I7 I9 G7 J9 Ka ,9:7
